rates,server_cpu_usage,client_cpu_usage,session_rate,bw_util,connected_cons
40.0,31.20949664429526,88.04852348993293,39.98725099601599,15402.075059760953,5202.310756972111
80.0,58.35600671140936,182.49901006711428,79.99681274900391,30517.16796812752,10402.03984063745
120.0,81.80352348993283,277.9493288590601,119.97131474103585,45846.031872509964,15605.737051792828
132.0,87.17231543624148,319.44147651006693,131.93625498007975,50418.83027888445,17169.75298804781
140.0,92.15375838926164,337.4246979865769,139.99362549800802,53494.90916334659,18214.27888446215
152.0,101.62884228187927,356.6795134228188,151.94581673306783,58215.471235059755,19779.537848605578
160.0,75.30120805369128,392.41385906040284,75.55396419437339,29464.55508951407,14295.979539641943
