Operations,avg,avgMean,avgStd,CPUUtilClient,CPUUtilClientMean,CPUUtilClientStd,CPUUtilServer,CPUUtilServerMean,CPUUtilServerStd,cycles,cyclesMean,cyclesStd,instructionsK,instructionsKMean,instructionsKStd,instructionsU,instructionsUMean,instructionsUStd,ipcK,ipcKMean,ipcKStd,ipcTotal,ipcTotalMean,ipcTotalStd,ipcU,ipcUMean,ipcUStd,p90th,p90thMean,p90thStd,p99th,p99thMean,p99thStd,throughput,throughputMean,throughputStd,totalOps,totalOpsMean,totalOpsStd
10,0.033,0.033,0.0,0.19855263157894854,0.19855263157894854,0.0,0.6628759398496129,0.6628759398496129,0.0,7241913066.0,7241913066.0,0.0,23196497.0,23196497.0,0.0,13077960081.0,13077960081.0,0.0,0.003203089679287238,0.003203089679287238,0.0,1.8090739917202976,1.8090739917202976,0.0,1.8058709020410104,1.8058709020410104,0.0,0.09,0.09,0.0,0.133,0.133,0.0,4.85,4.85,0.0,97.0,97.0,0.0
20,0.032,0.032,0.0,0.22890977443610439,0.22890977443610439,0.0,1.2558646616541438,1.2558646616541438,0.0,14414685973.0,14414685973.0,0.0,63868639.0,63868639.0,0.0,26128578262.0,26128578262.0,0.0,0.004430803357050698,0.004430803357050698,0.0,1.8170667713511623,1.8170667713511623,0.0,1.8126359679941118,1.8126359679941118,0.0,0.085,0.085,0.0,0.15,0.15,0.0,10.05,10.05,0.0,201.0,201.0,0.0
30,0.037,0.037,0.0,0.2753195488721758,0.2753195488721758,0.0,1.9912030075187914,1.9912030075187914,0.0,24953632680.0,24953632680.0,0.0,53997443.0,53997443.0,0.0,43106932241.0,43106932241.0,0.0,0.002163911110356218,0.002163911110356218,0.0,1.7296451477621093,1.7296451477621093,0.0,1.7274812366517531,1.7274812366517531,0.0,0.088,0.088,0.0,0.165,0.165,0.0,14.35,14.35,0.0,287.0,287.0,0.0
40,0.036,0.036,0.0,0.28612781954885236,0.28612781954885236,0.0,3.249868421052625,3.249868421052625,0.0,37909962479.0,37909962479.0,0.0,79150309.0,79150309.0,0.0,65252623830.0,65252623830.0,0.0,0.0020878498374627737,0.0020878498374627737,0.0,1.7233405117504443,1.7233405117504443,0.0,1.7212526619129815,1.7212526619129815,0.0,0.093,0.093,0.0,0.168,0.168,0.0,21.05,21.05,0.0,421.0,421.0,0.0
50,0.035,0.035,0.0,0.28875939849626775,0.28875939849626775,0.0,3.4873684210526505,3.4873684210526505,0.0,41275666941.0,41275666941.0,0.0,93111783.0,93111783.0,0.0,74756425766.0,74756425766.0,0.0,0.0022558516894008096,0.0022558516894008096,0.0,1.8134058901093215,1.8134058901093215,0.0,1.8111500384199206,1.8111500384199206,0.0,0.088,0.088,0.0,0.163,0.163,0.0,25.65,25.65,0.0,513.0,513.0,0.0
60,0.036,0.036,0.0,0.35704887218045656,0.35704887218045656,0.0,4.208345864661652,4.208345864661652,0.0,48386906163.0,48386906163.0,0.0,106394848.0,106394848.0,0.0,88425064415.0,88425064415.0,0.0,0.002198835520535035,0.002198835520535035,0.0,1.8296573656676014,1.8296573656676014,0.0,1.8274585301470663,1.8274585301470663,0.0,0.088,0.088,0.0,0.17,0.17,0.0,31.4,31.4,0.0,628.0,628.0,0.0
70,0.036,0.036,0.0,0.37107142857142605,0.37107142857142605,0.0,4.972086466165408,4.972086466165408,0.0,58782124690.0,58782124690.0,0.0,136240264.0,136240264.0,0.0,109147327015.0,109147327015.0,0.0,0.0023177158824811443,0.0023177158824811443,0.0,1.8591292481401458,1.8591292481401458,0.0,1.8568115322576646,1.8568115322576646,0.0,0.095,0.095,0.0,0.188,0.188,0.0,36.55,36.55,0.0,731.0,731.0,0.0
80,0.034,0.034,0.0,0.49166071428571456,0.49166071428571456,0.0,4.664500000000004,4.664500000000004,0.0,59582679568.0,59582679568.0,0.0,119024651.0,119024651.0,0.0,110721022931.0,110721022931.0,0.0,0.001997638438938628,0.001997638438938628,0.0,1.8602729582764306,1.8602729582764306,0.0,1.858275319837492,1.858275319837492,0.0,0.09,0.09,0.0,0.158,0.158,0.0,37.65,37.65,0.0,753.0,753.0,0.0
90,0.039,0.039,0.0,0.47048214285716483,0.47048214285716483,0.0,6.512678571428552,6.512678571428552,0.0,81358317192.0,81358317192.0,0.0,152712056.0,152712056.0,0.0,150567866341.0,150567866341.0,0.0,0.0018770306622691091,0.0018770306622691091,0.0,1.8525528009792762,1.8525528009792762,0.0,1.8506757703170071,1.8506757703170071,0.0,0.1,0.1,0.0,0.175,0.175,0.0,46.2,46.2,0.0,924.0,924.0,0.0
100,0.033,0.033,0.0,0.4448571428571313,0.4448571428571313,0.0,5.89991071428571,5.89991071428571,0.0,73498234330.0,73498234330.0,0.0,173856259.0,173856259.0,0.0,153387311785.0,153387311785.0,0.0,0.0023654481034116022,0.0023654481034116022,0.0,2.089317783533753,2.089317783533753,0.0,2.0869523354303414,2.0869523354303414,0.0,0.083,0.083,0.0,0.158,0.158,0.0,49.05,49.05,0.0,981.0,981.0,0.0
