rates,server_cpu_usage,client_cpu_usage,session_rate,bw_util,connected_cons,failure_rate,client_timeout_rate,other_rate
12.0,6.519865996649912,45.703316582914546,11.28817984046402,4538.546976069621,1491.56780275562,0.0,0.0,0.0
24.0,12.667822445561152,74.57412060301492,22.51718636693233,8895.489311094982,2982.97897026831,0.0,0.0,0.0
36.0,19.4738190954774,98.39809045226134,34.198556535685555,13561.84888532478,4570.287089013633,0.0,0.0,0.0
48.0,25.320335008375192,138.5146566164154,47.96919786096254,18453.2547593583,6245.28770053476,0.0,0.0,0.0
60.0,32.49971524288104,163.52422110552766,59.90502673796793,23211.172235294125,7806.494117647058,0.0,0.0,0.0
72.0,38.5825208681135,196.23393989983336,71.97176470588242,27779.239700534796,9365.056684491978,0.0,0.0,0.0
84.0,44.958006700167424,218.99582914572852,83.90639219935008,32318.30249187431,10923.731310942578,0.0,0.0,0.0
96.0,51.43323283082079,254.24700167504207,96.06240520043318,36999.22361863494,12485.733477789814,0.0,0.0,0.0
108.0,57.40005025125628,294.42700167504177,107.97176470588249,41577.878374331514,14046.096256684492,0.0,0.0,0.0
120.0,61.159465776293914,358.21130217028355,119.93839572192515,46023.678930481314,15606.12192513369,0.0,0.0,0.0
132.0,68.5623450586264,380.9157621440534,132.1898158179847,50645.570184182085,17166.435536294688,0.0,0.0,0.0
144.0,74.33003350083747,430.80117252931325,143.9666310160424,55325.308491978605,18730.06203208556,0.0,0.0,0.0
156.0,81.02375209380243,483.1246063651591,155.9435294117648,59740.09565775398,20290.896256684493,0.0,0.0,0.0
168.0,85.03495812395312,574.7847738693465,167.9717647058825,64313.16295187171,21869.76256684492,0.0,0.0,0.0
180.0,89.16871021775532,667.6958961474028,179.91786096256732,68739.6809839572,23424.94973262032,0.0,0.0,0.0
192.0,90.60252931323267,935.8958123953106,191.95636363636348,73450.1096470588,25043.127272727274,0.0,0.0,0.0
204.0,94.61966499162484,1193.1369514237842,200.07016042780742,76376.2482994653,27411.170053475937,0.0,0.0,0.0
216.0,98.20187604690109,1192.7628643216071,201.77161430119196,76557.47141928502,30968.29469122427,0.6190713929106341,0.6190713929106341,0.0
228.0,97.97953098827467,1196.9757621440538,203.6927152317881,76553.36569536413,32161.311258278147,3.884699818650377,2.6247971747637684,0.0
240.0,97.88829145728647,1192.3678224455593,196.44878048780467,71821.19259684361,29870.66857962697,13.11313999283924,8.941997851772287,0.0
252.0,98.47807370184258,1192.1198827470696,203.30909090909103,74545.32636363634,30096.893939393944,15.295500335795836,9.670920080591001,0.0
264.0,98.5810552763818,1189.0264656616425,206.07131050767413,74793.29199527753,30549.591499409682,16.764023365607745,8.65807793870529,0.0
276.0,98.54778894472346,1175.6409715242892,198.73956834532368,74569.06201438853,30327.856115107912,20.873196659073653,13.63705391040243,0.0
288.0,96.56314907872692,1192.6700502512579,194.6760820045559,71641.201093394,30937.96810933941,26.976642971130133,17.503264181053243,0.0
300.0,94.92021775544396,1178.9967504187612,191.05214007782115,71504.18322957202,31871.82490272374,28.713009491903964,20.582077051926298,0.0
