@
Linux 4.14.0-115.el7a.aarch64 (localhost.localdomain) 	2019年03月12日 	_aarch64_	(64 CPU)

01时06分04秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01时06分05秒   60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分05秒   61    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分05秒   62    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分05秒   63    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01时06分05秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01时06分06秒  all   18.78    0.00    2.01    0.00    0.00    0.09    0.00    0.00    0.00   79.12
01时06分06秒    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒    8    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01时06分06秒    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
