rates,server_cpu_usage,client_cpu_usage,session_rate,bw_util,connected_cons
10,31.20949664429526,88.04852348993293,9.996812749003997,3850.5187649402383,1300.5776892430279
20,58.35600671140936,182.49901006711428,19.999203187250977,7629.29199203188,2600.5099601593624
30,81.80352348993283,277.9493288590601,29.992828685258964,11461.507968127491,3901.434262948207
33,87.17231543624148,319.44147651006693,32.98406374501994,12604.707569721113,4292.438247011953
35,92.15375838926164,337.4246979865769,34.998406374502004,13373.727290836647,4553.5697211155375
38,101.62884228187927,356.6795134228188,37.98645418326696,14553.867808764939,4944.8844621513945
40,75.30120805369128,392.41385906040284,18.888491048593348,7366.138772378517,3573.994884910486
