Operations,avg,avgMean,avgStd,CPUUtilClient,CPUUtilClientMean,CPUUtilClientStd,CPUUtilServer,CPUUtilServerMean,CPUUtilServerStd,cycles,cyclesMean,cyclesStd,instructionsK,instructionsKMean,instructionsKStd,instructionsU,instructionsUMean,instructionsUStd,ipcK,ipcKMean,ipcKStd,ipcTotal,ipcTotalMean,ipcTotalStd,ipcU,ipcUMean,ipcUStd,p90th,p90thMean,p90thStd,p99th,p99thMean,p99thStd,throughput,throughputMean,throughputStd,totalOps,totalOpsMean,totalOpsStd
120,0.0,0.0,0.0,0.800083333333319,0.800083333333319,0.0,0.6008125000000035,0.6008125000000035,0.0,2577009761.0,2577009761.0,0.0,541636068.0,541636068.0,0.0,832686091.0,832686091.0,0.0,0.21018006070330908,0.21018006070330908,0.0,0.5333011072750842,0.5333011072750842,0.0,0.3231210465717751,0.3231210465717751,0.0,0.003,0.003,0.0,0.003,0.003,0.0,62.35,62.35,0.0,1247.0,1247.0,0.0
130,0.001,0.001,0.0,0.796447368421056,0.796447368421056,0.0,0.46296052631578277,0.46296052631578277,0.0,2180314308.0,2180314308.0,0.0,457618520.0,457618520.0,0.0,631171306.0,631171306.0,0.0,0.20988649128288892,0.20988649128288892,0.0,0.4993728757386111,0.4993728757386111,0.0,0.2894863844557222,0.2894863844557222,0.0,0.003,0.003,0.0,0.003,0.003,0.0,64.9,64.9,0.0,1298.0,1298.0,0.0
140,0.0,0.0,0.0,1.08274999999999,1.08274999999999,0.0,0.6015000000000157,0.6015000000000157,0.0,2808177262.0,2808177262.0,0.0,513782773.0,513782773.0,0.0,1131500734.0,1131500734.0,0.0,0.18295952322969844,0.18295952322969844,0.0,0.5858901890788117,0.5858901890788117,0.0,0.40293066584911336,0.40293066584911336,0.0,0.003,0.003,0.0,0.003,0.003,0.0,69.65,69.65,0.0,1393.0,1393.0,0.0
150,0.0,0.0,0.0,1.0432017543859615,1.0432017543859615,0.0,0.6913815789473716,0.6913815789473716,0.0,2783299779.0,2783299779.0,0.0,531944558.0,531944558.0,0.0,973531540.0,973531540.0,0.0,0.19112010930821116,0.19112010930821116,0.0,0.5408961367937506,0.5408961367937506,0.0,0.3497760274855395,0.3497760274855395,0.0,0.003,0.003,0.0,0.003,0.003,0.0,78.0,78.0,0.0,1560.0,1560.0,0.0
160,0.001,0.001,0.0,1.3488750000000067,1.3488750000000067,0.0,0.7204375000000027,0.7204375000000027,0.0,3093738982.0,3093738982.0,0.0,712180973.0,712180973.0,0.0,904182695.0,904182695.0,0.0,0.23020073029548166,0.23020073029548166,0.0,0.522462844281412,0.522462844281412,0.0,0.2922621139859303,0.2922621139859303,0.0,0.003,0.003,0.0,0.003,0.003,0.0,77.9,77.9,0.0,1558.0,1558.0,0.0
170,0.0,0.0,0.0,2.099499999999992,2.099499999999992,0.0,0.6905000000000001,0.6905000000000001,0.0,3538001506.0,3538001506.0,0.0,823016685.0,823016685.0,0.0,1059468870.0,1059468870.0,0.0,0.2326219148308073,0.2326219148308073,0.0,0.5320759620388924,0.5320759620388924,0.0,0.29945404720808505,0.29945404720808505,0.0,0.003,0.003,0.0,0.003,0.003,0.0,85.1,85.1,0.0,1702.0,1702.0,0.0
180,0.0,0.0,0.0,1.9173749999999927,1.9173749999999927,0.0,0.9198125000000061,0.9198125000000061,0.0,3657831676.0,3657831676.0,0.0,807934158.0,807934158.0,0.0,1195299923.0,1195299923.0,0.0,0.22087789421833418,0.22087789421833418,0.0,0.5476561685830839,0.5476561685830839,0.0,0.32677827436474965,0.32677827436474965,0.0,0.003,0.003,0.0,0.003,0.003,0.0,90.15,90.15,0.0,1803.0,1803.0,0.0
190,0.0,0.0,0.0,2.0929166666666816,2.0929166666666816,0.0,0.884625000000014,0.884625000000014,0.0,3420792388.0,3420792388.0,0.0,820356492.0,820356492.0,0.0,871456262.0,871456262.0,0.0,0.2398147560424237,0.2398147560424237,0.0,0.49456750428199325,0.49456750428199325,0.0,0.25475274823956956,0.25475274823956956,0.0,0.003,0.003,0.0,0.003,0.003,0.0,97.4,97.4,0.0,1948.0,1948.0,0.0
200,0.0,0.0,0.0,2.275874999999999,2.275874999999999,0.0,0.9316874999999953,0.9316874999999953,0.0,4163947197.0,4163947197.0,0.0,962872091.0,962872091.0,0.0,1230232715.0,1230232715.0,0.0,0.23124022602729466,0.23124022602729466,0.0,0.5266889089227804,0.5266889089227804,0.0,0.2954486828954858,0.2954486828954858,0.0,0.003,0.003,0.0,0.003,0.003,0.0,106.7,106.7,0.0,2134.0,2134.0,0.0
210,0.0,0.0,0.0,2.137791666666658,2.137791666666658,0.0,0.7880000000000109,0.7880000000000109,0.0,3648634303.0,3648634303.0,0.0,836605400.0,836605400.0,0.0,1061320694.0,1061320694.0,0.0,0.22929275189681841,0.22929275189681841,0.0,0.520174382080297,0.520174382080297,0.0,0.29088163018347857,0.29088163018347857,0.0,0.003,0.003,0.0,0.003,0.003,0.0,107.55,107.55,0.0,2151.0,2151.0,0.0
220,0.0,0.0,0.0,2.3849583333333157,2.3849583333333157,0.0,0.8500624999999928,0.8500624999999928,0.0,3671691506.0,3671691506.0,0.0,846060671.0,846060671.0,0.0,1038405768.0,1038405768.0,0.0,0.23042803830807457,0.23042803830807457,0.0,0.5132420400571638,0.5132420400571638,0.0,0.2828140017490892,0.2828140017490892,0.0,0.003,0.003,0.0,0.003,0.003,0.0,111.0,111.0,0.0,2220.0,2220.0,0.0
230,0.0,0.0,0.0,2.285375000000002,2.285375000000002,0.0,0.9118749999999949,0.9118749999999949,0.0,4001330903.0,4001330903.0,0.0,920189857.0,920189857.0,0.0,1119244215.0,1119244215.0,0.0,0.22997094699418316,0.22997094699418316,0.0,0.5096889313680438,0.5096889313680438,0.0,0.2797179843738607,0.2797179843738607,0.0,0.003,0.003,0.0,0.003,0.003,0.0,117.2,117.2,0.0,2344.0,2344.0,0.0
240,0.0,0.0,0.0,1.3644166666666706,1.3644166666666706,0.0,0.8597500000000053,0.8597500000000053,0.0,3492763470.0,3492763470.0,0.0,750894147.0,750894147.0,0.0,972264720.0,972264720.0,0.0,0.21498568495965173,0.21498568495965173,0.0,0.4933511478233594,0.4933511478233594,0.0,0.2783654628637077,0.2783654628637077,0.0,0.003,0.003,0.0,0.003,0.003,0.0,120.05,120.05,0.0,2401.0,2401.0,0.0
250,0.0,0.0,0.0,2.281083333333342,2.281083333333342,0.0,0.7341875000000044,0.7341875000000044,0.0,3621410549.0,3621410549.0,0.0,764807356.0,764807356.0,0.0,991858586.0,991858586.0,0.0,0.21119045898046288,0.21119045898046288,0.0,0.4850778220892624,0.4850778220892624,0.0,0.2738873631087995,0.2738873631087995,0.0,0.003,0.003,0.0,0.003,0.003,0.0,125.0,125.0,0.0,2500.0,2500.0,0.0
260,0.001,0.001,0.0,2.493958333333339,2.493958333333339,0.0,1.1890624999999915,1.1890624999999915,0.0,4522207353.0,4522207353.0,0.0,730789804.0,730789804.0,0.0,1469804926.0,1469804926.0,0.0,0.1616002423053864,0.1616002423053864,0.0,0.48661959928488047,0.48661959928488047,0.0,0.3250193569794941,0.3250193569794941,0.0,0.003,0.003,0.0,0.003,0.003,0.0,130.5,130.5,0.0,2610.0,2610.0,0.0
270,0.0,0.0,0.0,2.2694583333333185,2.2694583333333185,0.0,0.8006249999999966,0.8006249999999966,0.0,3681344438.0,3681344438.0,0.0,813339491.0,813339491.0,0.0,1054140101.0,1054140101.0,0.0,0.22093545026769376,0.22093545026769376,0.0,0.5072819518660862,0.5072819518660862,0.0,0.2863465015983924,0.2863465015983924,0.0,0.003,0.003,0.0,0.003,0.003,0.0,135.15,135.15,0.0,2703.0,2703.0,0.0
280,0.002,0.002,0.0,10.873000000000005,10.873000000000005,0.0,0.9643749999999898,0.9643749999999898,0.0,4211565946.0,4211565946.0,0.0,981566661.0,981566661.0,0.0,1071560639.0,1071560639.0,0.0,0.23306453551612036,0.23306453551612036,0.0,0.4874973647153714,0.4874973647153714,0.0,0.25443282919925103,0.25443282919925103,0.0,0.003,0.003,0.0,0.023,0.023,0.0,145.0,145.0,0.0,2900.0,2900.0,0.0
290,0.001,0.001,0.0,2.626166666666677,2.626166666666677,0.0,0.7556875000000076,0.7556875000000076,0.0,3640950168.0,3640950168.0,0.0,786805411.0,786805411.0,0.0,1015342964.0,1015342964.0,0.0,0.2160989232742501,0.2160989232742501,0.0,0.49496650375468687,0.49496650375468687,0.0,0.2788675804804368,0.2788675804804368,0.0,0.003,0.003,0.0,0.003,0.003,0.0,149.35,149.35,0.0,2987.0,2987.0,0.0
300,0.001,0.001,0.0,5.52954166666666,5.52954166666666,0.0,0.9060625000000186,0.9060625000000186,0.0,3984268106.0,3984268106.0,0.0,890716422.0,890716422.0,0.0,1084487334.0,1084487334.0,0.0,0.22355835458428358,0.22355835458428358,0.0,0.495750713418481,0.495750713418481,0.0,0.2721923588341974,0.2721923588341974,0.0,0.003,0.003,0.0,0.02,0.02,0.0,153.85,153.85,0.0,3077.0,3077.0,0.0
310,0.001,0.001,0.0,3.105916666666687,3.105916666666687,0.0,0.869937500000006,0.869937500000006,0.0,3866510281.0,3866510281.0,0.0,814191092.0,814191092.0,0.0,1100243973.0,1100243973.0,0.0,0.210575178346461,0.210575178346461,0.0,0.49513254223259623,0.49513254223259623,0.0,0.28455736388613523,0.28455736388613523,0.0,0.003,0.003,0.0,0.02,0.02,0.0,160.3,160.3,0.0,3206.0,3206.0,0.0
320,0.004,0.004,0.0,16.346249999999998,16.346249999999998,0.0,1.036750000000012,1.036750000000012,0.0,4384078539.0,4384078539.0,0.0,1023214783.0,1023214783.0,0.0,1177659976.0,1177659976.0,0.0,0.2333933513958884,0.2333933513958884,0.0,0.502015358397757,0.502015358397757,0.0,0.2686220070018686,0.2686220070018686,0.0,0.01,0.01,0.0,0.043,0.043,0.0,161.95,161.95,0.0,3239.0,3239.0,0.0
330,0.003,0.003,0.0,9.746083333333345,9.746083333333345,0.0,0.9598750000000109,0.9598750000000109,0.0,4207432488.0,4207432488.0,0.0,950764297.0,950764297.0,0.0,1126503991.0,1126503991.0,0.0,0.2259725615827873,0.2259725615827873,0.0,0.4937139915909686,0.4937139915909686,0.0,0.2677414300081813,0.2677414300081813,0.0,0.003,0.003,0.0,0.025,0.025,0.0,163.75,163.75,0.0,3275.0,3275.0,0.0
340,0.007,0.007,0.0,18.662291666666675,18.662291666666675,0.0,1.0791875000000033,1.0791875000000033,0.0,4811972842.0,4811972842.0,0.0,1215551851.0,1215551851.0,0.0,1226230217.0,1226230217.0,0.0,0.2526098735201465,0.2526098735201465,0.0,0.5074388713684266,0.5074388713684266,0.0,0.25482899784828006,0.25482899784828006,0.0,0.013,0.013,0.0,0.075,0.075,0.0,166.5,166.5,0.0,3330.0,3330.0,0.0
350,0.004,0.004,0.0,12.070916666666662,12.070916666666662,0.0,0.7676249999999953,0.7676249999999953,0.0,4461531519.0,4461531519.0,0.0,991905360.0,991905360.0,0.0,1191197367.0,1191197367.0,0.0,0.22232396112766317,0.22232396112766317,0.0,0.4893168898847804,0.4893168898847804,0.0,0.2669929287571172,0.2669929287571172,0.0,0.003,0.003,0.0,0.1,0.1,0.0,173.1,173.1,0.0,3462.0,3462.0,0.0
360,0.005,0.005,0.0,19.82783333333333,19.82783333333333,0.0,0.995625000000004,0.995625000000004,0.0,4889405206.0,4889405206.0,0.0,1082714144.0,1082714144.0,0.0,1337205037.0,1337205037.0,0.0,0.2214408702865033,0.2214408702865033,0.0,0.49493119899950466,0.49493119899950466,0.0,0.27349032871300133,0.27349032871300133,0.0,0.013,0.013,0.0,0.068,0.068,0.0,176.55,176.55,0.0,3531.0,3531.0,0.0
370,0.004,0.004,0.0,20.88695833333334,20.88695833333334,0.0,1.0030624999999986,1.0030624999999986,0.0,5439201203.0,5439201203.0,0.0,1147099121.0,1147099121.0,0.0,1720989359.0,1720989359.0,0.0,0.21089477630783646,0.21089477630783646,0.0,0.5272995745070252,0.5272995745070252,0.0,0.3164047981991888,0.3164047981991888,0.0,0.013,0.013,0.0,0.04,0.04,0.0,183.0,183.0,0.0,3660.0,3660.0,0.0
380,0.005,0.005,0.0,25.974291666666673,25.974291666666673,0.0,1.0501249999999942,1.0501249999999942,0.0,5075362046.0,5075362046.0,0.0,1205765972.0,1205765972.0,0.0,1233113732.0,1233113732.0,0.0,0.23757240588388953,0.23757240588388953,0.0,0.4805331485508768,0.4805331485508768,0.0,0.24296074266698728,0.24296074266698728,0.0,0.013,0.013,0.0,0.053,0.053,0.0,189.15,189.15,0.0,3783.0,3783.0,0.0
390,0.01,0.01,0.0,32.951228070175446,32.951228070175446,0.0,1.0474342105263048,1.0474342105263048,0.0,5035937021.0,5035937021.0,0.0,1206469566.0,1206469566.0,0.0,1344726642.0,1344726642.0,0.0,0.23957201231250266,0.23957201231250266,0.0,0.5065981161721125,0.5065981161721125,0.0,0.2670261038596098,0.2670261038596098,0.0,0.018,0.018,0.0,0.135,0.135,0.0,177.9,177.9,0.0,3558.0,3558.0,0.0
400,0.006,0.006,0.0,29.471999999999994,29.471999999999994,0.0,1.1423750000000155,1.1423750000000155,0.0,5412934590.0,5412934590.0,0.0,1325075533.0,1325075533.0,0.0,1260971850.0,1260971850.0,0.0,0.24479799468627977,0.24479799468627977,0.0,0.4777533036843883,0.4777533036843883,0.0,0.23295530899810854,0.23295530899810854,0.0,0.018,0.018,0.0,0.068,0.068,0.0,189.9,189.9,0.0,3798.0,3798.0,0.0
410,0.012,0.012,0.0,49.913875,49.913875,0.0,0.9412499999999966,0.9412499999999966,0.0,5539850952.0,5539850952.0,0.0,1484052500.0,1484052500.0,0.0,1195235595.0,1195235595.0,0.0,0.26788671985195317,0.26788671985195317,0.0,0.4836390217380708,0.4836390217380708,0.0,0.2157523018861176,0.2157523018861176,0.0,0.023,0.023,0.0,0.205,0.205,0.0,169.7,169.7,0.0,3394.0,3394.0,0.0
420,0.006,0.006,0.0,28.541125000000008,28.541125000000008,0.0,1.0203749999999872,1.0203749999999872,0.0,5244380020.0,5244380020.0,0.0,1271130338.0,1271130338.0,0.0,1300748208.0,1300748208.0,0.0,0.24237952496813914,0.24237952496813914,0.0,0.4904065945243991,0.4904065945243991,0.0,0.24802706955625997,0.24802706955625997,0.0,0.015,0.015,0.0,0.078,0.078,0.0,199.05,199.05,0.0,3981.0,3981.0,0.0
430,0.017,0.017,0.0,55.28191666666666,55.28191666666666,0.0,0.9900625000000076,0.9900625000000076,0.0,5418607371.0,5418607371.0,0.0,1434646809.0,1434646809.0,0.0,1152530504.0,1152530504.0,0.0,0.2647630121123238,0.2647630121123238,0.0,0.4774616678902384,0.4774616678902384,0.0,0.21269865577791464,0.21269865577791464,0.0,0.02,0.02,0.0,0.145,0.145,0.0,167.8,167.8,0.0,3356.0,3356.0,0.0
440,0.02,0.02,0.0,53.08879166666667,53.08879166666667,0.0,1.0346250000000055,1.0346250000000055,0.0,5865350710.0,5865350710.0,0.0,1476393467.0,1476393467.0,0.0,1428073268.0,1428073268.0,0.0,0.25171443959571854,0.25171443959571854,0.0,0.4951906337072212,0.4951906337072212,0.0,0.24347619411150268,0.24347619411150268,0.0,0.023,0.023,0.0,0.193,0.193,0.0,169.9,169.9,0.0,3398.0,3398.0,0.0
450,0.005,0.005,0.0,36.12562500000001,36.12562500000001,0.0,1.085687500000006,1.085687500000006,0.0,4719890578.0,4719890578.0,0.0,1189536368.0,1189536368.0,0.0,1218233569.0,1218233569.0,0.0,0.2520262595799525,0.2520262595799525,0.0,0.5101325755776875,0.5101325755776875,0.0,0.258106315997735,0.258106315997735,0.0,0.003,0.003,0.0,0.113,0.113,0.0,166.75,166.75,0.0,3335.0,3335.0,0.0
460,0.023,0.023,0.0,52.72883333333332,52.72883333333332,0.0,0.9073125000000033,0.9073125000000033,0.0,5910054750.0,5910054750.0,0.0,1589905896.0,1589905896.0,0.0,1271791699.0,1271791699.0,0.0,0.26901711798862776,0.26901711798862776,0.0,0.48420830534607145,0.48420830534607145,0.0,0.2151911873574437,0.2151911873574437,0.0,0.023,0.023,0.0,0.238,0.238,0.0,183.0,183.0,0.0,3660.0,3660.0,0.0
470,0.013,0.013,0.0,45.701958333333344,45.701958333333344,0.0,1.1031875000000184,1.1031875000000184,0.0,6098174902.0,6098174902.0,0.0,1507633147.0,1507633147.0,0.0,1421242256.0,1421242256.0,0.0,0.2472269443281376,0.2472269443281376,0.0,0.48028720888924087,0.48028720888924087,0.0,0.23306026456110326,0.23306026456110326,0.0,0.02,0.02,0.0,0.103,0.103,0.0,211.45,211.45,0.0,4229.0,4229.0,0.0
480,0.018,0.018,0.0,63.65395833333334,63.65395833333334,0.0,1.0474999999999994,1.0474999999999994,0.0,6003923024.0,6003923024.0,0.0,1577780410.0,1577780410.0,0.0,1257333298.0,1257333298.0,0.0,0.26279157872161285,0.26279157872161285,0.0,0.4722102026736444,0.4722102026736444,0.0,0.20941862395203154,0.20941862395203154,0.0,0.023,0.023,0.0,0.275,0.275,0.0,165.1,165.1,0.0,3302.0,3302.0,0.0
490,0.018,0.018,0.0,59.469875,59.469875,0.0,0.8251874999999984,0.8251874999999984,0.0,5904688084.0,5904688084.0,0.0,1601477851.0,1601477851.0,0.0,1261456406.0,1261456406.0,0.0,0.2712214139370956,0.2712214139370956,0.0,0.4848578309763263,0.4848578309763263,0.0,0.2136364170392307,0.2136364170392307,0.0,0.023,0.023,0.0,0.25,0.25,0.0,183.45,183.45,0.0,3669.0,3669.0,0.0
500,0.023,0.023,0.0,72.718125,72.718125,0.0,1.0825625000000088,1.0825625000000088,0.0,5847559885.0,5847559885.0,0.0,1622960869.0,1622960869.0,0.0,1141045436.0,1141045436.0,0.0,0.2775449761811204,0.2775449761811204,0.0,0.4726768702429458,0.4726768702429458,0.0,0.1951318940618254,0.1951318940618254,0.0,0.023,0.023,0.0,0.26,0.26,0.0,169.15,169.15,0.0,3383.0,3383.0,0.0
